State,% Wearing Mask,Population Density (p/mi^2),Total Tests per 100k,Has Strict Lockdown,Elderly,Nursing,Death Rate
AK,82,1,75190,0,13,0.09596153846153846,0.1923076923076923
AL,80,97,27200,0,17.5,0.6233580654025832,1.9510854630392966
AR,83,58,43059.7,0,17.299999999999997,0.785075169187446,3.5427169914157237
AZ,86,65,25455.8,0,18.2,0.1913277124061892,0.7041601037709626
CA,90,256,45609.6,0,14.899999999999999,0.3391627136817389,1.0824053149833397
CO,85,56,21262.8,1,14.799999999999999,0.37068606105526475,0.6485384722286561
CT,92,736,58834.7,1,17.7,0.7255786437920579,1.294091547733491
DC,97,11815,69649.83301428694,1,12.7,0.23233444321124674,0.1849796522382538
DE,93,504,36199,1,19.7,0.5356462585034014,1.7687074829931972
FL,83,410,30022.4,0,21.099999999999998,0.4282894182505386,2.262960867628826
GA,80,187,34102.9,0,14.499999999999998,0.2976532535916271,1.6641747383475263
HI,91,220,22056.3,1,19.7,0.3320478210566911,1.9282684149633629
IA,74,57,27599.8,0,17.4,0.965941997666076,3.976314993300774
ID,73,22,22930.3,0,16.2,0.25611847233047547,2.026500389711613
IL,86,228,55255.2,1,16,0.6952250762970499,2.267717870464564
IN,81,188,24434.9,0,16.1,0.765050916496945,3.1568228105906315
KS,79,36,21294.8,0,16.400000000000002,0.8047484562730363,5.552630319276243
KY,83,114,40434.2,0,17,0.6516806212838248,2.3965538162844315
LA,76,108,57750.6,0,16,0.7664019439340959,2.0743199193978548
MA,93,894,38838.1,1,17.1,0.6534628988704219,1.768531548320846
MD,92,627,31292.8,1,16,0.3654200421706803,0.9099988902452558
ME,86,44,43234.4,0,21.3,0.5543333965484544,0
MI,85,178,45736.2,0,17.7,0.49706108183960385,2.210807805343006
MN,86,72,31994.9,0,16.2,0.5616674652611403,1.9166267369429804
MO,77,90,23813.3,0,17.2,0.8217127741651052,2.3366031081230023
MS,77,64,28196.6,0,16.5,0.7440654205607476,3.130841121495327
MT,78,7,45411.3,0,19.6,0.46918489065606356,5.094433399602385
NC,83,218,38213.8,1,16.900000000000002,0.46611305962451005,2.3210233133897256
ND,72,11,38665.3,0,15.6,0.9639492753623188,7.971014492753623
NE,79,25,29933.3,0,16.2,0.7634711101493183,2.813243886604631
NH,87,153,24418.8,0,18.6,0.609006092916984,0.38080731150038083
NJ,91,1215,48745,1,16.5,0.6331054454263195,0.9254836398375926
NM,86,17,52230.2,1,18.3,0.35527758075955895,1.5474885550325617
NV,88,29,27978.8,0,16.3,0.2428035043804756,1.2084070605498254
NY,92,413,68567.8,1,16.900000000000002,0.6065755423876543,0.4121538076930873
OH,83,288,35446,0,17.4,0.8258281038089328,1.3447348458726984
OK,75,58,39433.4,0,16,0.6046650507605297,2.213088839709137
OR,86,45,20742.7,1,18.3,0.1439709099873656,0.8936550491510277
PA,84,287,18721.5,1,18.7,0.7498991779122073,1.3753166847629388
RI,93,1021,39262.5,0,17.8,0.9366712108067915,2.3546907919196927
SC,81,173,34922.7,0,18.4,0.4056033359395361,3.3098775084701586
SD,65,12,28525.1,0,17.4,0.883422967415375,5.2198671306548565
TN,77,167,53548.4,1,16.7,0.5245162687242879,3.287207448379033
TX,85,113,28779.2,0,12.9,0.44037071380370035,1.7525888310086855
UT,82,40,34911.6,0,11.5,0.2553483897567456,1.0994548536350726
VA,88,218,30066.9,0,16.3,0.31190172303765157,1.6911295469049137
VT,90,68,29194.7,0,20.4,0.48972389454017023,0
WA,89,117,32938.5,1,16,0.264028827315981,0.8746151693254968
WI,84,108,33864.1,0,17.5,0.48600526376015557,4.256779951939581
WV,82,74,38308.6,0,20.5,0.6766829552913719,1.6774852308365547
WY,63,6,21321.4,0,17.2,0.5280151946818613,2.611585944919278
